Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1000,Omar,Williams,student0@university.com,0,22,2,52.29,55.03,57.82,84.22,74.06,39.900000000000006,85.9,63.7535,6
S1001,Maria,Brown,student1@university.com,1,18,2,97.27,97.23,45.8,74.8,94.24,83.2,55.65,67.329,6
S1002,Ahmed,Jones,student2@university.com,1,24,0,57.19,67.05,93.68,67.7,85.7,50.5,73.79,78.39,3
S1003,Omar,Williams,student3@university.com,0,24,3,95.15,47.79,80.63,66.06,93.51,65.4,92.12,74.937,4
S1004,John,Smith,student4@university.com,0,23,1,54.18,46.59,78.89,96.85,83.7,59.699999999999996,68.42,70.70100000000001,5
S1005,Liam,Brown,student5@university.com,1,21,2,75.43,78.85,43.53,71.4,52.2,63.800000000000004,67.29,59.987,7
S1006,Ahmed,Jones,student6@university.com,1,24,0,57.6,66.26,89.07,84.52,98.4,23.0,93.65,80.32950000000001,2
S1007,Ahmed,Smith,student7@university.com,1,19,2,51.91,45.67,73.96,80.12,95.9,37.3,93.24,69.9715,5
S1008,Omar,Smith,student8@university.com,0,21,1,85.97,84.42,90.87,57.05,56.33,5.1000000000000005,94.01,80.4085,2
S1009,Sara,Smith,student9@university.com,0,22,2,64.01,87.96,98.47,96.98,55.63,58.8,78.6,87.38999999999999,1
S1010,John,Smith,student10@university.com,0,23,1,85.72,83.52,97.43,67.29,76.95,45.9,97.62,87.4765,1
S1011,Omar,Williams,student11@university.com,0,20,2,77.75,52.14,91.37,52.24,87.85,76.1,90.95,77.9275,3
S1012,John,Davis,student12@university.com,1,21,2,55.44,81.39,40.66,65.02,69.11,20.6,70.78,56.918499999999995,7
S1013,John,Williams,student13@university.com,1,18,0,96.61,40.64,93.14,66.78,56.82,43.7,81.48,74.1405,4
S1014,Liam,Williams,student14@university.com,1,19,2,72.62,58.31,44.5,54.64,75.53,18.099999999999998,56.09,51.652,8
S1015,Ahmed,Jones,student15@university.com,1,18,1,86.72,63.93,91.07,81.0,66.88,61.4,77.57,79.69949999999999,3
S1016,Maria,Jones,student16@university.com,0,21,1,75.05,90.11,56.81,67.34,67.59,84.80000000000001,63.16,68.32600000000001,5
S1017,Liam,Davis,student17@university.com,0,23,0,80.22,63.42,76.6,81.46,82.25,76.5,64.18,73.0455,4
S1018,Liam,Jones,student18@university.com,1,20,1,65.14,40.68,42.28,50.34,94.28,94.39999999999999,56.29,51.216499999999996,8
S1019,John,Johnson,student19@university.com,1,20,2,60.02,61.14,86.27,99.1,77.93,97.2,67.91,78.58999999999999,3
S1020,Emma,Davis,student20@university.com,1,18,1,77.13,69.94,46.7,74.8,84.38,77.2,74.07,63.194,6
S1021,Ahmed,Jones,student21@university.com,1,22,0,72.01,96.94,64.64,82.97,83.0,28.700000000000003,80.02,74.7295,4
S1022,Sara,Davis,student22@university.com,1,22,2,69.51,96.46,89.05,85.79,77.56,21.9,65.24,81.7255,2
S1023,Liam,Williams,student23@university.com,0,23,1,83.63,50.85,81.72,58.58,65.54,44.800000000000004,89.61,71.85600000000001,4
S1024,Maria,Williams,student24@university.com,0,20,1,84.53,51.11,40.36,55.59,68.89,99.4,76.05,55.9735,7
S1025,Emma,Davis,student25@university.com,1,18,0,52.3,49.8,64.18,57.63,65.79,41.3,81.9,61.6495,6
S1026,Emma,Johnson,student26@university.com,1,18,2,66.94,87.34,42.52,62.34,95.87,19.900000000000002,63.91,59.432,7
S1027,Sara,Johnson,student27@university.com,1,18,0,70.59,40.36,80.41,58.41,91.33,94.39999999999999,90.71,72.4995,4
S1028,Liam,Davis,student28@university.com,0,21,0,54.84,47.63,98.14,83.7,78.97,38.6,81.21,77.954,3
S1029,Maria,Jones,student29@university.com,0,23,3,61.8,72.28,79.32,71.04,95.61,69.10000000000001,93.12,78.58149999999999,3
S1030,Ahmed,Brown,student30@university.com,0,22,1,52.58,54.85,53.46,76.89,94.32,78.8,58.0,60.02799999999999,7
S1031,Ali,Johnson,student31@university.com,1,22,3,99.81,45.54,61.31,52.37,96.38,84.3,69.03,63.248000000000005,6
S1032,Maria,Smith,student32@university.com,0,21,1,75.43,61.59,98.6,93.06,61.09,82.10000000000001,55.65,80.3425,2
S1033,Sara,Williams,student33@university.com,1,19,1,54.37,56.45,53.44,58.53,85.88,83.6,60.78,58.828500000000005,7
S1034,Emma,Davis,student34@university.com,0,21,0,51.01,70.67,73.69,68.01,80.46,66.8,69.73,70.784,5
S1035,Ahmed,Smith,student35@university.com,0,23,1,85.96,98.75,64.03,53.6,86.69,40.400000000000006,94.73,75.584,3
S1036,Maria,Davis,student36@university.com,0,18,1,71.96,47.46,86.1,56.84,63.17,66.7,77.85,71.385,4
S1037,Ali,Williams,student37@university.com,1,21,1,89.34,62.36,92.04,83.29,84.74,83.7,66.52,80.48400000000001,2
S1038,Ali,Williams,student38@university.com,1,18,2,96.17,95.92,60.45,84.63,70.49,35.099999999999994,87.34,75.016,3
S1039,John,Johnson,student39@university.com,0,23,2,79.97,92.61,79.62,83.85,91.7,29.700000000000003,50.98,76.47050000000002,3
S1040,John,Johnson,student40@university.com,1,24,0,59.36,63.66,72.94,77.61,89.77,34.4,68.5,69.1205,5
